Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Typ crossovera
145.6285305225351	150.39999863559336	6.82	1	One Point Crossover
150.61437669824423	150.39998241524955	7.269	1	One Point Crossover
146.15843590025816	150.39989479851954	7.846	1	One Point Crossover
150.46894756902216	150.39992108334863	7.317	1	One Point Crossover
143.91271088387776	150.39962958521204	6.808	1	One Point Crossover
132.950317219803	150.39995121689844	6.896	1	One Point Crossover
144.2674685182916	150.39961890081992	7.004	1	One Point Crossover
130.07789605764236	150.39942433893228	6.735	1	One Point Crossover
146.62714421465193	150.35077920039942	6.698	1	One Point Crossover
143.9605065822616	150.39962028781076	7.17	1	One Point Crossover
146.43917746669337	150.39998696602171	7.748	1	One Point Crossover
145.15563537407039	150.39989830875874	7.222	1	One Point Crossover
150.08619895150247	150.3999672505773	6.528	1	One Point Crossover
143.48671217697822	150.39998686316	6.784	1	One Point Crossover
148.27372208291376	150.39968048961777	6.886	1	One Point Crossover
140.34187899365423	150.39996834539863	7.646	1	One Point Crossover
149.49796774247187	150.39995988456127	7.342	1	One Point Crossover
148.9352388441158	150.39997788868553	7.424	1	One Point Crossover
130.76006383155658	150.39984956135908	7.263	1	One Point Crossover
131.51660576345225	150.39997270929985	6.594	1	One Point Crossover
142.95118627959752	150.39973175918007	6.924	1	Two Point Crossover
146.67429312741478	150.39994886394132	7.033	1	Two Point Crossover
135.48087010368872	150.38924206712443	7.345	1	Two Point Crossover
142.3329256496468	150.39991852896262	7.247	1	Two Point Crossover
132.62954706386546	150.39760035294594	6.929	1	Two Point Crossover
150.26809581504563	150.39978660792852	7.27	1	Two Point Crossover
142.62988929389306	150.39935483646568	8.003	1	Two Point Crossover
143.25875722410095	150.39966136288194	7.742	1	Two Point Crossover
142.8302673489413	150.3999728349907	7.824	1	Two Point Crossover
141.30312901175623	150.39990391264288	7.775	1	Two Point Crossover
146.8819989124693	150.39965979101584	7.609	1	Two Point Crossover
146.0301365847399	150.39953753995673	7.486	1	Two Point Crossover
137.02699467180219	150.39951549123282	7.754	1	Two Point Crossover
126.64471648609944	150.39922051845656	7.749	1	Two Point Crossover
139.16652238153145	150.3999746291649	7.499	1	Two Point Crossover
148.64088129038632	150.39979099435882	7.763	1	Two Point Crossover
141.65484411809527	150.39871193698616	7.706	1	Two Point Crossover
145.01113566964202	150.39996953336475	7.648	1	Two Point Crossover
152.39924251172982	150.39975532224727	7.759	1	Two Point Crossover
149.65782030861544	150.3999323019435	7.663	1	Two Point Crossover
149.26593996599087	150.39965761631547	8.32	1	Uniform Crossover
135.9361282318796	150.39891731576	8.537	1	Uniform Crossover
147.98289626406813	150.39939144134817	8.608	1	Uniform Crossover
145.0306765708845	150.39973643426632	8.121	1	Uniform Crossover
148.4718416431008	150.39999577422662	8.22	1	Uniform Crossover
144.51360120109385	150.39993427856808	8.581	1	Uniform Crossover
148.68450370447198	150.39999875142618	8.548	1	Uniform Crossover
144.7811123284096	150.39985229892497	8.445	1	Uniform Crossover
138.22685179874014	150.39999894954323	8.321	1	Uniform Crossover
146.85108466907573	150.39749605948472	8.512	1	Uniform Crossover
149.03364811872825	150.39996940639128	8.09	1	Uniform Crossover
127.87272663268342	150.3999919984795	8.146	1	Uniform Crossover
145.73400893943003	150.39997350516092	8.484	1	Uniform Crossover
151.0907823117366	150.39982343890887	8.154	1	Uniform Crossover
142.61095317876874	150.39979644883977	8.277	1	Uniform Crossover
147.364629754517	150.39988502886092	8.337	1	Uniform Crossover
136.47960772336495	150.39882342640107	8.245	1	Uniform Crossover
145.02707528309892	150.39974227413165	8.249	1	Uniform Crossover
140.67654023475495	150.39948035627188	8.165	1	Uniform Crossover
149.56740401439555	150.39990634917282	8.362	1	Uniform Crossover
149.68708665696823	150.39999355195295	8.288	1	Roulette Crossover
146.91767878666997	150.3991036439017	7.971	1	Roulette Crossover
133.89321112262627	150.39900783786157	7.893	1	Roulette Crossover
148.30246034013396	150.39981676496424	7.914	1	Roulette Crossover
151.0380122196305	150.3999780487277	7.865	1	Roulette Crossover
147.9126499235748	150.39999243613934	8.109	1	Roulette Crossover
135.903848105024	150.39967196303078	7.998	1	Roulette Crossover
148.2268776699152	149.89338249492656	8.062	1	Roulette Crossover
134.78646216001607	150.3907436862592	7.632	1	Roulette Crossover
143.92517583655078	150.39940088567369	7.373	1	Roulette Crossover
136.2757615934214	150.3998481955525	7.596	1	Roulette Crossover
150.76662377629515	150.39996786967998	7.968	1	Roulette Crossover
146.04170159854988	150.39977076935432	8.302	1	Roulette Crossover
146.7368304441353	150.39993443995178	8.298	1	Roulette Crossover
144.46810296107748	150.39976978388498	7.804	1	Roulette Crossover
141.92182845009935	150.39996857041098	8.067	1	Roulette Crossover
143.4017508415945	150.3999745261491	8.038	1	Roulette Crossover
138.78627082011192	150.39992433935979	8.213	1	Roulette Crossover
142.8497123598994	150.39982506458105	8.388	1	Roulette Crossover
151.507086307933	150.39996319441337	8.177	1	Roulette Crossover
