Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Rozmiar populacji
139.99011642495762	150.3927618287265	0.181	1	10
129.69501779103103	150.37899023946645	0.1	1	10
106.35900275893985	150.30871245393445	0.113	1	10
125.39331279221777	150.38379218046137	0.11	1	10
68.35751132081286	150.39353373708792	0.11	1	10
132.81972682562682	150.34879883947366	0.03	1	10
67.03735230427706	150.39998330047928	0.088	1	10
128.6310682740593	150.36375917011515	0.058	1	10
104.27596683009843	150.39883821809525	0.053	1	10
141.12504837401423	150.39858175949132	0.038	1	10
79.65942412723928	150.37881155918797	0.083	1	10
125.46082828793823	150.38957465532462	0.086	1	10
103.58674697214258	150.38982901340393	0.079	1	10
85.63639010603585	150.23954772403843	0.056	1	10
122.07534593428205	150.37730589670792	0.083	1	10
121.41569874918389	150.3996721188695	0.098	1	10
44.84468846280919	150.39048742835098	0.088	1	10
102.94095324516836	150.39963509754776	0.095	1	10
113.97026292611366	150.39985336615376	0.095	1	10
94.4199477312564	150.140937981096	0.098	1	10
130.7301949879288	150.3869301271382	0.198	1	20
104.51776788705284	150.3948373872415	0.243	1	20
92.19458144501397	150.39969327932585	0.239	1	20
122.83703133302733	150.39661432056363	0.239	1	20
115.68416808624043	150.3992870418329	0.234	1	20
104.72123848682888	150.39922697210915	0.216	1	20
142.14960068339093	150.38286342455098	0.272	1	20
116.27959551239942	150.38857946886262	0.255	1	20
139.7741679818353	150.3985361843902	0.232	1	20
135.1639140899354	150.39346298619134	0.242	1	20
103.70759659151456	150.3996614515201	0.2	1	20
130.44545733064882	150.3943145320995	0.227	1	20
119.2311998368844	150.39912919934812	0.204	1	20
121.31866888865815	150.39726047552244	0.206	1	20
115.81866138693246	150.39686709459858	0.185	1	20
118.7581986778973	150.39392833033713	0.221	1	20
107.51448535257555	150.398055210171	0.255	1	20
89.11157007239579	150.39654817550795	0.196	1	20
137.86871653056508	150.39869253648055	0.214	1	20
92.6989376100556	150.39921214500137	0.229	1	20
132.6075952663368	150.38183467155488	0.348	1	30
121.74544058917121	150.3985596878047	0.329	1	30
116.92050582933696	150.3988646275955	0.307	1	30
132.70303618026423	150.3952723768472	0.337	1	30
138.75230849173673	150.3939078683909	0.33	1	30
138.19593119281657	150.39898118225696	0.376	1	30
128.8374565780407	150.39309441454907	0.345	1	30
122.16906297650142	150.39535250012446	0.278	1	30
103.4233885525427	150.39419882698803	0.347	1	30
115.00679688844949	150.26566820541942	0.313	1	30
83.14224588831043	150.39695185418978	0.334	1	30
103.64380910756728	150.39618248336882	0.383	1	30
125.20879895681841	150.3996787735159	0.368	1	30
77.01628614237788	150.39964036544941	0.373	1	30
119.43035181508591	150.39883835195855	0.369	1	30
116.15136777984915	150.39473114024207	0.381	1	30
134.8767515462993	150.3295400698948	0.412	1	30
135.77699868146047	150.38035733765477	0.408	1	30
131.70818299016526	150.39699556465263	0.357	1	30
123.39130707929277	150.39907470284362	0.352	1	30
132.40263279343827	150.3985371544823	0.516	1	40
126.6410386291932	150.3990597173338	0.463	1	40
131.0883202111855	150.398857523904	0.511	1	40
114.41557257692337	150.39301191559946	0.492	1	40
116.02707600624143	150.3649862660914	0.562	1	40
91.10509307615911	150.39876094198667	0.436	1	40
