Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
149.38927350998483	150.39994238311033	7.028	1
139.33326770921784	150.39662808581878	7.801	1
140.90994550186193	150.3988248332052	7.966	1
139.71091860564457	150.399983193731	7.207	1
143.70240620822474	150.39999659638906	6.933	1
145.76312625534257	150.3999777081002	7.385	1
148.22291277427362	150.39772370156564	7.3	1
147.81577652580015	150.39598070811923	6.838	1
136.41709374040022	150.39900542957233	7.088	1
140.24613239142136	150.39971561083547	8.121	1
146.47213689268224	150.3997197152701	7.704	1
134.67377601999289	150.39963175213802	6.911	1
145.80837320094759	150.39981900598474	6.909	1
147.85882508883043	150.39936409132304	6.954	1
136.274434683518	150.39952641516396	7.348	1
134.88383481710463	150.39987163939364	7.97	1
149.62393425873051	150.39978575999456	7.147	1
144.8280003568053	150.3999487683657	7.491	1
148.71614658856257	150.3999409077535	7.326	1
135.21392119680385	150.3999892867807	7.143	1
147.628299278262	150.39998699249006	7.15	1
122.94453039152828	150.39998106781994	7.202	1
138.32608746053512	150.39992749458526	7.513	1
133.23677064719539	150.39997320232533	6.658	1
147.8094038113502	150.3998805359056	7.177	1
146.59543081622633	150.39923638734675	7.708	1
133.92006099469486	150.39975220123986	7.593	1
139.2858632011764	150.39990104119892	7.635	1
148.41867332652484	150.39995469766	7.823	1
141.646624374465	150.39943727917486	7.755	1
142.47776376973565	150.39989554215438	7.951	1
133.17700362151126	150.39704309770974	7.929	1
150.76502858981195	150.3997721168614	7.805	1
138.56732567919852	150.3999382659843	7.726	1
150.53206741925726	150.39988885910836	7.578	1
146.33791738289844	150.39993969607593	7.658	1
145.64973260195987	150.3999058181896	7.644	1
137.25394627253314	150.39973192663274	8.19	1
150.1187309722902	150.3999616095009	7.414	1
146.17704297836025	150.3999792265607	7.589	1
144.6691543169448	150.39989560180064	7.808	1
145.4754595260039	150.39999311900993	7.908	1
137.44858921468443	150.3999917739419	7.685	1
147.9458992513214	150.39979778640333	7.655	1
149.80551996105007	150.39804373913287	7.738	1
147.54998404017772	150.3999636640989	7.654	1
147.00527693359098	150.39999407210453	7.713	1
146.5889264341385	150.38937691283815	8.095	1
132.91433043830824	150.3972810019775	7.877	1
143.29064981453254	150.39940636981393	7.621	1
148.39563894885305	150.39991698243955	8.068	1
148.9279328783265	150.3999606082782	7.862	1
142.9240862586293	150.3977585815718	7.531	1
138.30702159829337	150.39928509468083	7.926	1
147.9250365169642	150.3998377402608	7.585	1
144.15422751663752	150.39980237527277	7.613	1
146.947510773677	150.39959421148717	7.41	1
148.5394367094938	150.39994167234033	7.912	1
150.43504895618202	150.3997475842576	7.705	1
143.3898641057619	150.39998437045813	7.923	1
137.05369957471754	150.39996103664112	7.945	1
140.0500697903962	150.3995728593216	7.67	1
142.86700223720794	150.3999968132411	7.429	1
140.31293451293087	150.3999859083062	7.644	1
137.29742445748946	150.39922603983132	7.586	1
144.13353325470754	150.39994315471398	7.693	1
144.7390831394937	150.3992871263705	8.087	1
147.34100291526127	150.39833076286365	7.558	1
135.0869440858117	150.3982293848333	7.863	1
141.16863665886922	150.346494703251	7.563	1
146.84016524427275	150.3999790805144	7.734	1
150.86672334104998	150.39992981069167	7.506	1
132.9973651014164	150.39992423083774	7.609	1
150.30265412309848	150.3995977041437	7.475	1
146.60293298262116	150.39984653004979	7.665	1
139.1950537280913	150.39946907415396	7.773	1
148.91883885584863	150.3993857773441	7.256	1
144.5206347398106	150.3998550395629	7.359	1
150.267467752401	150.39954095953726	7.533	1
131.98066364915817	150.399999758108	7.851	1
129.91357649223838	150.3999968311127	7.401	1
128.35733909264601	150.3993165213235	6.976	1
147.8523449502835	150.39963802976368	5.308	1
145.90321505477732	150.399866599921	5.451	1
132.6308121756962	150.39992611073106	5.424	1
134.25267943772275	150.39974967583623	5.22	1
141.0512297150535	150.3999924948931	5.41	1
148.89183577620207	150.3998441912342	5.192	1
