Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Typ crossovera
137.50490560461148	150.39986120988183	0.843	1	One Point Crossover
148.45118669847534	150.39958369820914	0.852	1	One Point Crossover
146.86381331305773	150.3993554179775	0.805	1	One Point Crossover
143.1227314190403	150.39996526877363	0.822	1	One Point Crossover
139.1123740084973	150.39997852297603	0.811	1	One Point Crossover
143.81248819550603	150.3999310731914	0.855	1	One Point Crossover
150.45669443786903	150.39998580708533	0.799	1	One Point Crossover
146.72882241818695	150.39826572330094	0.847	1	One Point Crossover
141.59576353905058	150.39964336159727	0.829	1	One Point Crossover
131.8125810312453	150.39999486606453	0.829	1	One Point Crossover
148.16967340888687	150.39997177957443	0.817	1	One Point Crossover
144.93547918805353	150.39944939197866	0.814	1	One Point Crossover
151.60929684778014	150.39921125741873	0.823	1	One Point Crossover
139.18642249521514	150.3996140075609	0.829	1	One Point Crossover
150.11102626385608	150.39999962355918	0.81	1	One Point Crossover
144.44903977477657	150.3999560055164	0.825	1	One Point Crossover
146.14637613810834	150.39997768734398	0.82	1	One Point Crossover
149.6879616568963	150.39999521603698	0.836	1	One Point Crossover
136.18573492930585	150.39967550014308	0.796	1	One Point Crossover
149.56166578071137	150.3994204171683	0.832	1	One Point Crossover
149.38287357039812	150.3994255381571	0.835	1	Two Point Crossover
150.74556608220593	150.3999820629047	0.836	1	Two Point Crossover
146.09797216045212	150.39849767757818	0.825	1	Two Point Crossover
144.21974836983915	150.3998624454287	0.82	1	Two Point Crossover
137.20762613384483	150.39995929340023	0.834	1	Two Point Crossover
147.44216027856018	150.39970378180118	0.884	1	Two Point Crossover
137.3467630626755	150.39994558010181	0.882	1	Two Point Crossover
148.07996832694712	150.3999937368834	0.921	1	Two Point Crossover
142.69200949847442	149.5721858175004	0.863	1	Two Point Crossover
142.77318170991364	150.3998981574727	0.803	1	Two Point Crossover
137.30744401590363	150.3998315393874	0.817	1	Two Point Crossover
143.33899178425963	150.39953306419878	0.822	1	Two Point Crossover
131.6700708327483	150.3996879296089	0.836	1	Two Point Crossover
134.67644410895076	150.39533331264403	0.797	1	Two Point Crossover
143.94943707760137	150.39984329806953	0.827	1	Two Point Crossover
150.80763411332958	150.399699189354	0.799	1	Two Point Crossover
113.29541872710003	150.39974403679759	0.812	1	Two Point Crossover
145.61449069742363	150.39991480831642	0.813	1	Two Point Crossover
141.23663812854466	150.3999654023578	0.828	1	Two Point Crossover
145.93523508682216	150.39811695944772	0.822	1	Two Point Crossover
149.78895789024222	150.39998679399577	0.847	1	Uniform Crossover
147.47615237015668	150.39995723820368	0.868	1	Uniform Crossover
151.18188612295302	150.39387701447228	0.846	1	Uniform Crossover
149.42252381525054	150.39999822295422	0.834	1	Uniform Crossover
141.90230580443142	150.39926442814178	0.856	1	Uniform Crossover
146.8978778572055	150.39505792448097	0.845	1	Uniform Crossover
148.5673672416462	150.397189159656	0.871	1	Uniform Crossover
147.2733262822002	150.39831310582696	0.851	1	Uniform Crossover
141.63551823628043	150.3998457139407	0.849	1	Uniform Crossover
140.3158402399249	150.3992763873773	0.878	1	Uniform Crossover
147.60017866092994	150.399886531647	0.867	1	Uniform Crossover
145.3262915253208	150.3999377971375	0.854	1	Uniform Crossover
140.3708030584652	150.39999246801253	0.823	1	Uniform Crossover
151.9274597487489	150.39999689603778	0.853	1	Uniform Crossover
143.78450586518832	150.39998139498613	0.912	1	Uniform Crossover
142.8447814712943	150.3999314996766	0.887	1	Uniform Crossover
136.27608828250658	150.3990203549431	0.869	1	Uniform Crossover
147.15837665779864	150.39994008827563	0.85	1	Uniform Crossover
148.16250922387803	150.3999177534153	0.854	1	Uniform Crossover
146.28566681898394	150.399997687173	0.855	1	Uniform Crossover
149.12768164694106	150.39994570776918	0.853	1	Roulette Crossover
136.63601340892825	150.3991197258522	0.817	1	Roulette Crossover
135.26716503309106	150.3998673647077	0.837	1	Roulette Crossover
148.16752433114482	150.39838332029638	0.877	1	Roulette Crossover
138.046629604077	150.3998584002738	0.829	1	Roulette Crossover
139.59838283278063	150.39839993185495	0.83	1	Roulette Crossover
152.34457375899285	150.39894277801486	0.836	1	Roulette Crossover
147.18251149920565	150.39986379954956	0.843	1	Roulette Crossover
148.72383003773203	150.3714118914963	0.848	1	Roulette Crossover
137.41101241421848	150.39996788557954	0.825	1	Roulette Crossover
140.6758313763987	150.39997471942402	0.805	1	Roulette Crossover
145.42925337688612	150.39981917471087	0.834	1	Roulette Crossover
131.18927719513414	150.39945067136398	0.827	1	Roulette Crossover
146.2829884630792	150.39995414424988	0.849	1	Roulette Crossover
149.00685888866568	150.39988397144572	0.839	1	Roulette Crossover
139.06376625670163	150.39953899659744	0.793	1	Roulette Crossover
148.38839097245426	150.3999654729596	0.82	1	Roulette Crossover
146.0460572891769	150.39814888871746	0.829	1	Roulette Crossover
144.89844700743296	150.39969979820347	0.822	1	Roulette Crossover
149.3987700156654	150.39989238516588	0.806	1	Roulette Crossover
