Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
143.33253062194098	150.39999154984514	0.93	1
138.29359735149123	150.39949247188065	0.866	1
133.35156862158502	150.39951383455517	0.849	1
142.3677796818993	150.39998057349618	0.804	1
140.56340335227364	150.39991588971432	0.832	1
142.2046993234604	150.39906947562494	0.812	1
146.66085296536164	150.39983295491606	0.811	1
132.11704477684665	150.39993955141716	0.826	1
142.74047299938567	150.39996454890934	0.797	1
136.89349698388443	150.3999084778767	0.821	1
147.6396090429534	150.39635851208078	0.814	1
140.19971626413616	150.39995665871487	0.785	1
139.79841566831257	150.39989089360645	0.829	1
146.11181523412296	150.39979976052982	0.795	1
136.09542247939982	150.39995046061324	0.771	1
140.50014917363592	150.39930410446442	0.823	1
148.04429079822054	150.39936447506167	0.795	1
133.64645428739158	150.39986972085808	0.821	1
149.5621569610135	150.3997532484434	0.785	1
145.41414745210275	150.39662395118933	0.792	1
139.26402375447557	150.39976091463848	0.809	1
139.91424280680377	150.39954035548	0.808	1
147.83081179383615	150.39664672929422	0.793	1
132.27870823321567	150.39996426337515	0.811	1
145.54149423939077	150.3996272308188	0.809	1
143.60269581260658	150.3998635905045	0.816	1
141.09682304810036	150.39899086259572	0.804	1
148.79439282572105	150.39995922779693	0.803	1
143.92771140031164	150.3983950114584	0.82	1
150.0577174691951	150.39999870766653	0.788	1
143.27887678699386	150.39999375606845	0.777	1
145.70961592484605	150.397533039742	0.839	1
145.33008553020946	150.39995286144068	0.813	1
142.13072833858766	150.3925755703381	0.81	1
137.7158478401187	150.39182658858635	0.796	1
124.39966719343624	150.39970995359656	0.781	1
131.53600225373083	150.39993142039933	0.83	1
141.86206689083994	150.39994731231306	0.816	1
134.77799978377382	150.39991669379128	0.818	1
139.58606802969607	150.39998149524374	0.801	1
142.13912600342195	150.39973474623423	0.772	1
145.91310759117545	150.39926110801542	0.82	1
145.9087058677264	150.39982755530727	0.844	1
148.16766706413284	150.39946458231543	0.793	1
146.68154513661577	150.39915321457997	0.821	1
138.72457859465894	150.39996190316919	0.848	1
141.37965536621394	150.3999383188564	0.803	1
142.0940648282723	150.39994526435123	0.789	1
138.3482645213746	150.39916837000976	0.832	1
142.61053414897577	150.39998142162926	0.79	1
148.1170583057191	150.39998314023632	0.817	1
142.09752890908166	150.39983983637117	0.814	1
143.85265192616646	150.29769732792266	0.828	1
132.8682032248682	150.39881894111386	0.797	1
142.58187932444216	150.39883414912987	0.831	1
132.31771787246183	150.39949536076696	0.821	1
147.16943895207123	150.39943206029182	0.83	1
129.20810667356199	150.39937551593079	0.812	1
131.77512148979616	150.39297895931185	0.814	1
140.1958729580928	150.39993792311603	0.811	1
141.7079610351464	150.39971524670722	0.819	1
145.9279943508381	150.3997628043398	0.8	1
144.1166014674621	150.39989973996381	0.802	1
145.87849057761218	150.39967919886243	0.814	1
136.35306049882195	150.39973160259967	0.788	1
147.086071194375	150.39992611166156	0.793	1
139.57775891615813	150.39987537221327	0.856	1
143.50958200495572	150.39995055841234	0.827	1
143.42130501734033	150.39980856964672	0.842	1
144.83373222147407	150.39966580141393	0.814	1
146.65828273497362	150.39991968377652	0.821	1
151.84803406506526	150.39953726600984	0.849	1
151.303037004663	150.39999900829133	0.803	1
132.63795270666031	150.39925367035914	0.811	1
