Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Typ crossovera
147.787398715457	150.39875352313985	0.868	1	One Point Crossover
141.13679286903817	150.3989137750146	0.842	1	One Point Crossover
134.03724165816715	150.39928304659546	0.827	1	One Point Crossover
148.51233189410735	150.39984130420646	0.84	1	One Point Crossover
150.24787083607237	150.39968593019967	0.838	1	One Point Crossover
137.01164081766817	150.39999985254178	0.802	1	One Point Crossover
150.52764006845888	150.39999934779996	0.817	1	One Point Crossover
146.4894288049087	150.39991941476953	0.846	1	One Point Crossover
149.2826670680488	150.39987978670433	0.81	1	One Point Crossover
148.98130117128488	150.3945990498215	0.853	1	One Point Crossover
142.2931178005521	150.39980422392625	0.841	1	One Point Crossover
152.25890764303597	150.39987774122204	0.85	1	One Point Crossover
147.7338847777068	150.39906959835992	0.832	1	One Point Crossover
143.82307978374925	150.39993752247645	0.84	1	One Point Crossover
146.44364807216698	150.39979483669515	0.88	1	One Point Crossover
150.2375578620099	150.39996920343734	0.856	1	One Point Crossover
148.53512552786165	150.3999462186205	0.818	1	One Point Crossover
131.16553847557134	150.39897719020212	0.874	1	One Point Crossover
142.7633641938339	150.39914505521307	0.881	1	One Point Crossover
150.7353974655118	150.3998824502416	0.874	1	One Point Crossover
149.67859759081915	150.3989240779205	0.867	1	Two Point Crossover
141.47246166352522	150.39513743257825	1.004	1	Two Point Crossover
142.93442204024214	150.3995463942414	0.883	1	Two Point Crossover
144.34002967392126	150.39999333653103	0.882	1	Two Point Crossover
140.01154027968863	150.3984602633912	0.846	1	Two Point Crossover
147.62210250657364	150.3991566262586	1.004	1	Two Point Crossover
143.14074044252186	150.3998274227587	0.891	1	Two Point Crossover
142.9623297302006	150.3996144676541	0.891	1	Two Point Crossover
147.61758638103407	150.39933391041964	0.901	1	Two Point Crossover
147.1125175996015	150.39995865322803	0.966	1	Two Point Crossover
131.8397095445344	150.39997782636283	0.905	1	Two Point Crossover
151.45147023236993	150.3976560816973	0.89	1	Two Point Crossover
143.55860395241254	150.39920186151232	0.874	1	Two Point Crossover
140.29740608110075	150.3778402329485	0.914	1	Two Point Crossover
146.55359510851713	150.3998537832877	0.963	1	Two Point Crossover
145.11549048609982	150.39959308104676	1.003	1	Two Point Crossover
148.20199001022053	150.39885123893114	0.846	1	Two Point Crossover
148.45065739698916	150.39970239489878	0.847	1	Two Point Crossover
147.81686767744873	150.39993309604796	0.973	1	Two Point Crossover
144.33212606480703	150.39935980717445	0.972	1	Two Point Crossover
148.68411800210254	150.39937748980347	0.898	1	Uniform Crossover
146.22013649169747	150.39972492921072	0.967	1	Uniform Crossover
150.5317781124962	150.39933480917054	0.924	1	Uniform Crossover
148.29584679626643	150.39995529395463	0.876	1	Uniform Crossover
143.09420318104594	150.39999624465844	0.988	1	Uniform Crossover
149.12955044667228	150.39949272220554	1.131	1	Uniform Crossover
146.8865504793835	150.39999706039018	1.082	1	Uniform Crossover
144.78627394813594	150.3981343293367	0.987	1	Uniform Crossover
150.23379342787314	150.39958265857274	0.976	1	Uniform Crossover
137.6642683588636	150.39929739564414	1.086	1	Uniform Crossover
152.8734827268624	150.3999446451596	1.012	1	Uniform Crossover
150.78310145048272	150.39976171875483	0.923	1	Uniform Crossover
138.04346896845817	150.39944040581864	0.895	1	Uniform Crossover
140.5765965010202	150.39995151037365	0.907	1	Uniform Crossover
131.91584712246248	150.3999333003786	0.898	1	Uniform Crossover
146.90304998889835	150.3999843048758	0.876	1	Uniform Crossover
144.55386616750496	150.39968062094704	0.875	1	Uniform Crossover
144.64351468796556	150.39992321038187	0.895	1	Uniform Crossover
147.0924474085965	150.25374368554913	0.925	1	Uniform Crossover
145.82963090016312	150.399994365509	0.915	1	Uniform Crossover
150.45347498994897	150.399995220583	0.899	1	Roulette Crossover
145.71377703791006	150.39998385041417	0.898	1	Roulette Crossover
144.59390711002317	150.3999950021311	0.91	1	Roulette Crossover
142.2477344650289	150.3986378703063	0.882	1	Roulette Crossover
148.04733462440933	150.39997366268614	0.871	1	Roulette Crossover
144.7872691350192	150.3977230462228	0.891	1	Roulette Crossover
145.2450863001124	150.39996613482236	0.84	1	Roulette Crossover
140.1627878410615	150.39996534901871	0.847	1	Roulette Crossover
146.8042643497874	150.3999151656292	0.858	1	Roulette Crossover
151.63029004553556	150.39989931308597	0.854	1	Roulette Crossover
146.16775181132869	150.3998261761661	0.847	1	Roulette Crossover
134.95546235808825	150.3997214353787	0.871	1	Roulette Crossover
145.9247499842112	150.39775245945233	0.851	1	Roulette Crossover
147.83411568999628	150.3999716949707	0.831	1	Roulette Crossover
145.74535891181839	150.39971996803317	0.851	1	Roulette Crossover
147.4592578200331	150.39321001187824	0.835	1	Roulette Crossover
139.5861435675507	150.3999822642249	0.847	1	Roulette Crossover
142.7976602044726	150.39963294445278	0.864	1	Roulette Crossover
143.6378135509548	150.39968853369842	0.848	1	Roulette Crossover
133.11190603187694	150.3998617862469	0.845	1	Roulette Crossover
