Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Rozmiar populacji
94.11748427613881	150.39986911530193	0.012	1	10
115.11259282318879	150.37398298244926	0.01	1	10
123.58274979960125	150.39066097467435	0.011	1	10
112.7392263023515	150.3996481761463	0.01	1	10
87.23689115624454	150.39999645616732	0.01	1	10
69.42601598980283	150.39862432172902	0.007	1	10
119.05968618826715	150.3999189079227	0.006	1	10
112.17887112714934	150.39740009519443	0.005	1	10
132.77799027024514	150.39533044244354	0.007	1	10
96.97769776534054	150.39996953786527	0.007	1	10
98.2274115659324	150.3999789325229	0.007	1	10
134.90423173309293	150.3981056980095	0.007	1	10
134.3591886382724	150.3943061830902	0.006	1	10
92.21283819371142	150.39658335386898	0.005	1	10
129.4637623789863	150.39767573816894	0.006	1	10
114.10835370301251	150.3878400401559	0.007	1	10
101.52288086090208	150.37499219838415	0.007	1	10
104.60136105979089	150.39609322783477	0.006	1	10
100.68662725363906	150.39165859238523	0.006	1	10
127.49000119670936	150.38528193467977	0.006	1	10
127.33019368337446	150.3812942155735	0.014	1	20
103.04096395936695	150.39851900455446	0.012	1	20
110.70689267630644	150.3852075100771	0.012	1	20
140.65657492382843	150.39987823081532	0.012	1	20
136.00124355512955	150.3999904578767	0.012	1	20
133.6799368325328	150.33324377996382	0.012	1	20
108.07791216434978	150.38652946053793	0.013	1	20
99.64456772379039	150.39910992313628	0.014	1	20
145.31590192667045	150.3995084869171	0.014	1	20
133.14354375950427	150.38003236836312	0.014	1	20
101.75853402687005	150.39916826177625	0.013	1	20
115.43660168185389	149.90521592060043	0.015	1	20
92.4373060213893	150.32528056282052	0.013	1	20
67.5772707193521	150.39977735464777	0.013	1	20
117.05245277821506	150.39973239052892	0.013	1	20
117.04308631926196	150.39332159281784	0.013	1	20
96.33552969948339	150.39877594839817	0.013	1	20
121.93497796127772	150.38662688809885	0.014	1	20
100.8092848155152	150.32725222392983	0.013	1	20
126.31484735634072	150.39891634995905	0.013	1	20
127.95724795389837	150.27869441571593	0.022	1	30
140.42278443600782	150.39898367154464	0.018	1	30
133.05167900873278	150.39940602085258	0.02	1	30
119.19067905725723	150.3933042086282	0.019	1	30
120.08865916335091	150.39181020887565	0.019	1	30
109.38573715486352	150.39994317920474	0.02	1	30
137.1689080766752	150.39556221804105	0.018	1	30
127.05659470996686	150.39340607009802	0.018	1	30
125.17511795716524	150.39826978051212	0.02	1	30
116.76838352636824	150.39376068476517	0.022	1	30
97.0578727445724	150.39967549859443	0.019	1	30
122.49391079843201	150.38395624370588	0.019	1	30
121.91423693834903	150.38560442526702	0.019	1	30
119.46540661025075	150.39404610167838	0.019	1	30
115.94091656136116	150.3999277638323	0.02	1	30
131.55550940986387	150.39931793330638	0.019	1	30
113.74313908837715	150.3999368736115	0.018	1	30
106.10039402694919	150.39347925078377	0.019	1	30
114.2142406841642	150.39472230439554	0.019	1	30
85.09041783106659	150.3913116018479	0.02	1	30
125.04025187273908	150.39810658222453	0.029	1	40
123.25441177664862	150.39697615061618	0.029	1	40
100.40283035004575	150.39980855358746	0.026	1	40
108.9052677698022	150.39490889001758	0.027	1	40
144.8803199832519	150.39918865317068	0.026	1	40
112.86473395076072	150.39141573849744	0.027	1	40
123.09816995102626	150.39983700256704	0.027	1	40
116.20909833089935	150.39372115076137	0.026	1	40
114.22541972894149	150.39872257592938	0.025	1	40
103.04405381811254	150.39928182758482	0.027	1	40
143.13777789170373	150.39650030307251	0.026	1	40
134.33560160518726	150.38026567574843	0.025	1	40
136.21584059134923	150.3970129290954	0.027	1	40
92.65510728525231	150.39792063327545	0.026	1	40
133.49669081165342	150.39841435081905	0.028	1	40
90.89081407239034	150.3927336530494	0.026	1	40
114.91079316398725	150.39876928731834	0.027	1	40
128.70768410023925	150.38064977294403	0.029	1	40
129.3145358766228	150.39765909240492	0.027	1	40
140.2669160874734	150.39444722019815	0.028	1	40
141.68571485890527	150.39920823488967	0.035	1	50
118.28058318264277	150.39891862959544	0.034	1	50
105.33092336616154	150.39902129885218	0.035	1	50
106.81975278196468	150.3359385739163	0.034	1	50
111.04620611930312	150.39939923637726	0.034	1	50
115.81296623296876	150.3971622881238	0.034	1	50
135.18235765588693	150.31825916045582	0.033	1	50
116.14122106573191	150.3967329065295	0.033	1	50
124.65834003656455	150.3997310323972	0.033	1	50
120.2917590633457	150.38856964860344	0.032	1	50
141.4887288517266	150.3885680225148	0.033	1	50
141.80613757283038	150.3972805493945	0.033	1	50
98.93257961029067	150.39766562454867	0.034	1	50
77.75437544909197	150.39996580648517	0.034	1	50
128.06262110967205	150.3900636718098	0.033	1	50
111.60317010010507	150.38846774025353	0.034	1	50
120.43282494997956	150.39501559834454	0.034	1	50
143.48903689939917	150.3976387475284	0.035	1	50
134.1528227183291	150.3918560960171	0.035	1	50
139.60217097544256	150.3959319369256	0.035	1	50
116.2884074362025	150.39919288240614	0.044	1	60
147.44073585638108	150.3856317085396	0.043	1	60
129.9001022432459	150.39947791388883	0.042	1	60
126.91137725187683	150.39970163386886	0.045	1	60
111.82567817259078	150.39353171573302	0.04	1	60
84.58055986152739	150.39997306780708	0.041	1	60
96.078364552049	150.3984079463992	0.041	1	60
101.44220638945157	150.39997548198403	0.04	1	60
136.68856422458322	150.3998965530953	0.041	1	60
104.33858835685992	150.39994836680387	0.042	1	60
130.33464088143188	150.39945522847665	0.042	1	60
101.8105686523518	150.3995022578944	0.04	1	60
104.10677859543405	150.3994055764987	0.039	1	60
140.02383688299258	150.38700715908388	0.039	1	60
135.419645194594	150.38771222549408	0.04	1	60
140.67044154851573	150.39912856748848	0.042	1	60
142.26327315269307	150.39915250839908	0.04	1	60
