Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
143.9793887608215	150.39687451303882	0.968	1
146.11945105766068	150.3994665684881	0.851	1
139.20712217634295	150.39886600254704	0.898	1
127.22066189831236	150.39997162612627	0.911	1
146.77964512972514	150.3998664012371	0.9	1
150.95955179390893	150.39999103285473	0.891	1
151.48836497510672	150.3999753657395	0.9	1
147.2010211936816	150.39944947131562	0.874	1
136.7506521672925	150.38393392479725	0.926	1
142.49716834893943	150.39992938199467	0.898	1
144.50448063697525	150.39984994282986	0.879	1
145.27903900477	150.39998536280868	0.816	1
148.03517841160226	150.39982877108832	0.861	1
143.83627334790864	150.39958892761507	0.843	1
147.24354898521233	150.39859236283667	0.82	1
141.995581086153	150.3971970583894	0.837	1
126.17437826782708	150.39669688217722	0.824	1
146.63271952814824	150.3999887275951	0.866	1
139.7017719846852	150.39972760418732	0.865	1
142.94153591854263	150.39943358085702	0.867	1
141.06792891375375	150.39949472209048	0.98	1
139.46011462921737	150.39885570347118	0.875	1
146.15894212787106	150.39912107746153	0.844	1
138.6224272661101	150.3995125474484	0.843	1
137.85153026830585	150.39295728892768	0.878	1
140.91785258597474	150.39991557113552	0.845	1
141.21310748543587	150.3998216069182	0.855	1
140.5131989600159	150.39828219950112	0.822	1
143.13640277350555	150.3995546208667	0.882	1
146.17993591697802	150.3995624501464	0.859	1
146.136588708627	150.3999310585844	0.85	1
146.92217953632306	150.3999017111105	0.83	1
141.9030611155038	150.3996320648795	0.835	1
137.51108850079243	150.39978733949414	0.887	1
147.04930672315848	150.39989602613136	0.951	1
145.37358084262618	150.39910147036858	0.889	1
130.94380964281805	150.399381315234	0.873	1
131.93715385121777	150.39977085033516	0.822	1
138.24153605928018	150.39959109933866	0.807	1
145.75987824966052	150.3996360414242	0.823	1
138.97399733582307	150.24883058910092	0.805	1
147.3726653572386	150.39951547592065	0.868	1
144.148212093752	150.39987428558862	0.822	1
145.4871639995638	150.39998647112702	0.894	1
146.95571150250836	150.39999885336124	0.858	1
150.49311974902207	150.3990132001866	0.892	1
125.27863297978325	150.39996146357862	0.896	1
149.2305927477587	150.39508611631467	0.865	1
151.09181286480083	150.39998014339085	0.896	1
144.1657091485049	150.39957502110332	0.904	1
133.19034217441805	150.39999896619025	0.836	1
142.25661892601764	150.3999105394529	0.84	1
141.07178534423275	150.3984726510622	0.874	1
137.4838421126234	150.39879825330098	0.849	1
147.05132919726964	150.39998255173091	0.863	1
144.1282300490738	150.39977345893394	0.88	1
143.5592756446701	150.39998542413397	0.825	1
141.07703537865862	150.3998817839582	0.85	1
143.16554178553798	150.39924906078147	0.853	1
143.74846401100677	150.39866690710215	0.824	1
135.48155390543073	150.39957583387732	0.878	1
152.56442159774485	150.39999310817691	0.903	1
150.5606990568306	150.39975665624985	0.888	1
149.02518351426045	150.39885573153413	0.86	1
135.53504497783427	150.39999166323992	0.868	1
141.63817885089472	150.3858786936606	0.834	1
147.61353043759448	150.3999583845366	0.826	1
148.3970434123352	150.39984868138896	0.833	1
133.5813491635659	150.3999818551138	0.879	1
141.52552503931167	150.399537926179	0.87	1
139.87576661313426	150.39992559813408	0.882	1
149.47243833208597	150.39979251214461	0.841	1
147.33279273173477	150.3999650971905	0.796	1
148.36730750043125	150.3996965909405	0.874	1
142.92865397681035	150.39975322520496	0.866	1
139.69729695118437	150.3997067758489	0.848	1
140.37903362052398	150.39967791772875	0.873	1
142.55797769495302	150.39960185353706	0.857	1
136.95012895056615	150.39974338153417	0.862	1
141.7264645214147	150.39997479552216	0.864	1
147.33311950541156	150.39979959939075	0.864	1
148.26408469680493	150.3978952381662	0.848	1
149.41934484913924	150.39954509165722	0.903	1
147.80163913749703	150.3997923343324	0.824	1
143.2085812593067	150.3997525116254	0.827	1
145.0191692728805	150.39999688808672	0.843	1
149.55184469210323	150.3999918369293	0.846	1
147.6498364879213	150.39999651201578	0.905	1
147.4567367229788	150.39992619283134	0.866	1
145.42587040151156	150.39963691277447	0.85	1
139.2434387998826	150.3996414064519	0.911	1
145.4456138429734	150.39914845702484	1.035	1
144.71688792680106	150.39549007340273	0.855	1
135.8333586031699	150.39897916544524	0.859	1
145.6316236846302	150.39998202696594	0.86	1
141.4543952952213	150.39958822179025	0.876	1
143.305572037816	150.39988080516167	0.891	1
143.699694201167	150.39950568015894	0.901	1
141.40267192188483	150.39955119912509	0.893	1
126.44662218313573	150.39777200438914	0.85	1
143.56329402655058	150.39981538736598	0.864	1
148.3585616759271	150.39996465620797	0.87	1
144.3498501464956	150.39999110522245	0.92	1
148.29919263037505	150.39997285732687	0.871	1
133.6466327164302	150.39707883400916	0.896	1
144.33037545725895	150.39960398824323	0.874	1
141.14414718540976	150.39978013929937	0.868	1
141.43116076441177	150.39997642054908	0.858	1
141.6085609884724	150.39869653212165	0.852	1
141.82176754104603	150.3998293317137	0.853	1
142.39648787107978	150.31053131601817	0.86	1
132.57397964496863	150.39931167963437	0.844	1
150.0064419153386	150.39962344909998	0.897	1
145.08166167015403	150.3999532594662	0.9	1
135.94528477563526	150.3995909955354	0.899	1
149.34432053040464	150.3980539917985	0.883	1
144.17483567940374	150.39901470423413	0.925	1
144.88197078820636	150.3998390506934	0.916	1
145.496474633518	150.26845851315477	0.86	1
139.85934037924193	150.39868095008237	0.875	1
137.09983437092365	150.3598694148202	0.915	1
144.33422167526166	150.39979159211194	0.895	1
148.82793655306008	150.399998271857	0.878	1
128.27845038239718	150.3998801206681	0.875	1
145.76139300038415	150.39980795916358	0.867	1
